Unnamed: 0,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,Operating Income,Interest Expense,Net Income,EPS,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,Net Profit Margin,Cash and cash equivalents,Short-term investments,Total debt,Retained earnings (deficit),Net Debt,Operating Cash Flow,Capital Expenditure,Dividend payments,Free Cash Flow,Net Cash/Marketcap,priceBookValueRatio,priceToBookRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,dividendYield,enterpriseValueMultiple,priceFairValue,ebitperRevenue,grossProfitMargin,operatingProfitMargin,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,assetTurnover,currentRatio,quickRatio,cashRatio,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Dividend Yield,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Working Capital,Tangible Asset Value,Invested Capital,ROE,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Dividends per Share Growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Asset Growth,Debt Growth,Sector,2015 PRICE VAR [%],Class,2016 PRICE VAR [%],2017 PRICE VAR [%],2018 PRICE VAR [%],2019 PRICE VAR [%]
HT,417406000,0.2334,260099000,157307000,80576000,43357000,67255000,1.05,1.04,0.3769,0.428,0.2586,0.127,-0.1673,178659000,0.1611,21675000,,918923000,-365381000,,112894000,-182709000,-52010000,-69815000,-1.2696,1.6836,1.6986,26.781,0,12.5004,9.560219081,16.04774921,0.048189026,6.162389652,1.301321555,0.258566,0.376868085,1,0.161126098,,0.0811,,1.041582778,0.224951348,,,,0.4952,1.108,0,0,2.4893,,2.237257666,2.268,-1.403,0.4354,0.99,0.270465686,-0.618411962,8.3855,1.3511,2.268,-1.403,16.6618,18.4607,1411219466,1898838437,26.781,3.3809,12.5004,0,1.6836,3.9094,14.0169,20.57,178.2779,0.0373,-0.0495,1.108,0.4952,,,2.4893,0.037,1.6184,0.4377,-2.5831,0.0144,19.8642,,,,1848223000,2745471000,0.0811,0.2593,0.2705,0.4189,0.6151,0.6406,0.6508,0.0833,-0.227,-0.0288,-0.1052,0.1495,-0.0264,0.0609,0.1771,0.1045,0,0,-0.0547,-0.068,-0.0128,-0.0968,-0.0466,0.0417,0.0615,0.188,Real Estate,-20.07339033,0,9.572999166,-15.19258951,6.122764676,-8.457791431
WPC,908446000,0.8545,220060000,688386000,271068000,178122000,239826000,2.42,3.69,0.7578,0.753,0.4795,0.264,-0.5836,684106000,0.264,198683000,,4088546000,-497730000,,399092000,-929217000,-347902000,-530125000,-0.6003,1.962,4.7731,28.9669,0,18.2702,13.15074545,21.88402135,0.066287789,7.962275297,1.399230237,0.479452824,0.757762156,1,0.263995879,,0.0639,,0.931598268,0.105041129,,,,0.4727,1.09,0,0,2.4453,,2.305714459,4.0409,-5.368,2.0117,1.525,0.439312849,-1.328327804,9.1981,2.4283,4.0409,-5.368,37.9782,41.3971,7291475895,11314892506,28.9669,8.0263,18.2702,0,1.962,13.9575,15.6356,22.5479,105.156,0.0345,-0.0727,1.09,0.4727,,,2.4453,0.0526,2.3283,1.0229,-3.7386,0.0153,44.1066,,,,6439448000,10329311000,0.0639,0.8223,1.1366,0.9765,1.4255,0.6923,0.695,0.403,-6.3126,0.046,0.0946,0.0575,0.0434,0.1616,0.2617,0.0327,0.0654,-0.1141,0.0864,0.1882,0.3036,0.0768,0.1544,0.1918,0.8484,0.9776,Real Estate,-11.24491946,0,6.641651647,21.90039892,1.847312299,31.25404187
PCH,606950000,0.0643,429789000,177161000,132506000,22909000,89910000,2.21,1.425,0.2919,0.262,0.2183,0.148,-0.4643,159255000,0.1481,4644000,26368000,625668000,-43588000,594656000,131372000,-413184000,-57848000,-281812000,-0.3498,7.5896,7.5896,18.9457,0,12.9386,10.85779767,15.86487148,0.040554943,12.77104389,6.337743574,0.218314523,0.291887305,1,0.148134113,0.0983,0.3995,0.087,0.820369171,0.588274633,1.281,0.567083137,0.064326675,0.6064,2.7799,0.728136506,0.735444922,5.784,0.209970783,4.584193081,3.2239,-6.916,0.114,0.645,0.216446165,-2.145145084,14.8948,2.2064,3.2239,-6.916,5.5232,15.3542,1699765741,2294421741,18.9457,2.8005,12.9386,0,7.5896,3.7802,14.4072,17.4651,-8.1417,0.0528,-0.1658,2.7799,0.6064,3.734,1.281,5.784,0.034,3.1451,0.6808,-15.4467,0.0068,16.563,0.087,0.0983,20298000,1031746000,1580576000,0.3995,0.0969,0.2315,0.2315,0.2739,0.2701,0.2717,0.1133,-5.2315,-0.1059,0.0446,0.0637,-0.1398,0.0135,0.1872,-0.1324,0.0256,0.301,-0.1314,-0.009,0.1602,-0.0748,-0.0692,-0.0817,0.5161,0.9547,Real Estate,-25.05397941,0,48.08943298,22.85616755,-29.72987791,46.71234425
CLDT,197216000,0.5624,56760000,140456000,47538000,21354000,66873000,2.32,0.93,0.7122,0.623,0.4479,0.339,-1.878,122911000,0.3391,27107000,0,550221000,-11120000,,49306000,-419668000,-26507000,-370362000,-0.0159,1.6752,1.6752,12.4871,0,19.9757,12.76486677,9.411638796,0.042115748,5.679095689,1.069405188,0.447894694,0.712193737,1,0.339085064,,0.1136,,0.998432321,0.169269736,1.187193057,10.75905128,9.497381887,0.4723,0.9349,0.065916307,0.067755364,4.1366,1.152689163,1.979652936,1.7281,-12.981,0.9501,0.401,0.250010141,-7.511499615,6.9123,2.3439,1.7281,-12.981,20.6279,19.285,984920148,1508034148,12.4871,4.9941,19.9757,0,1.6752,7.6466,12.2693,30.5852,-4.0718,0.0801,-0.376,0.9349,0.4723,,,4.1366,0.0321,8.5115,2.128,-12.1365,0.0125,30.0457,,,,1165099000,1688213000,0.1136,0.6068,5.0147,0.5277,21.4256,16.8462,16.6923,0.1071,-0.7286,,0.2076,0.0789,,0.3376,0.369,,1.1058,0,,6.0316,0.0823,,0,0.0205,0.7288,1.0224,Real Estate,-27.07161118,0,10.77997725,16.74940295,-17.26452,12.14839624
GNL,93383000,22.6353,8744000,84639000,-43560000,14852000,-53594000,-1.29,0,0.9064,0.002,-0.4302,-0.574,-16.3454,214000,-0.5739,70788000,,940454000,-155116000,,-9693000,-1516685000,-35415000,-1526378000,-1.327,0,0,0,0,-0.0061,,,,330.7850467,0,-0.430196074,0.906364113,1,-0.573916023,,-0.0378,,,0.038448252,,,,0.3872,0.6638,0,0,-2.7049,,1.714442117,-0.2306,-36.319,1.6844,0,-0.103798336,,2.222,-1.2752,-0.2306,-36.319,33.709,22.3777,58941.005,2659728465,0,0.0006,-0.0061,0,0,10.054,14.0299,19.1481,-960.8846,-1290,-25896.7081,0.6638,0.3872,,,-2.7049,0,0,16.2416,-37.5538,0.0011,0,,,,1941053000,2810719000,-0.0378,20.9329,-5.6733,-6.1929,-6.6683,0.6641,0.6641,0,-12.2559,,,,,,,,,,,,,,,,10.3006,11.2289,Real Estate,-16.2,1,0.934954146,-5.612170633,-4.479600169,26.16485512
DEA,6324000,0.5786,0,6324000,-3612000,0,2396000,0,0,1,0.379,0.3789,0.379,-3.5414,2396000,0.3789,31437000,,0,0,,-22396000,0,0,-22396000,-0.6186,28.088,28.088,0,0,-16.7266,,0,,13.1206177,0,0.37887413,1,1,0.37887413,,0.1797,,1,0.021044575,,,,0,0,0,0,0,,22.53167879,-0.9267,-0.9267,1.3007,,-3.541429475,,0.2617,0.0991,-0.9267,-0.9267,0.5518,0,374609874.5,1465860655,0,59.2362,-16.7266,0,28.088,10.7185,17.9631,28.9587,-4.6876,0,-0.0598,0,0,,,0,0,0,0,0,0.2796,0,,,,300505000,269068000,0.1797,0.5786,1.5554,-1.2948,1.5554,0,0,0,0.4972,,,,,,,,,,,,,,,,0.6892,0,Real Estate,14.62192829,1,25.08983822,10.7805803,-22.26760105,62.38895139
AAT,260000000,0.0194,91231000,168769000,83669000,52965000,21756000,0.52,0.893,0.6491,0.543,0.2874,0.084,-0.162,141289000,0.0837,70351000,,1062811000,-60291000,,105611000,-147742000,-54311000,-42131000,-0.6708,2.3391,2.3391,76.5577,0,16.4406,14.10305002,68.46098621,0.036464108,11.0397003,2.025610144,0.287388462,0.649111538,1,0.083676923,,0.0296,,1,0.133899005,,,,0.5473,1.4454,0,0,1.4108,,2.64076442,2.5121,-1.0021,1.6734,1.717,0.406196154,-0.398926248,6.1844,0.5175,2.5121,-1.0021,17.4901,25.2803,1736309687,3014100158,76.5577,6.6781,16.4406,0,2.3391,9.1381,16.706,20.7584,-16.7536,0.0131,-0.0243,1.4454,0.5473,,,1.4108,0.0224,1.3989,0.5682,-2.2194,0.0141,14.1111,,,,1941762000,2934222000,0.0296,0.0224,0.0202,0.0317,0.4294,0.3684,0.3421,0.0506,-2.1231,,,0.0387,,,0.122,,,0.8679,,,0.0088,,0,0.0373,0.0597,0.0169,Real Estate,-2.682617787,0,17.4749831,-8.80720507,8.370831967,19.70294943
NSA,76970000,,27913000,49057000,17083000,23033000,0,0,0,0.6374,0.608,0.2992,0,-2.6343,46818000,0,11129000,,597691000,0,,16423000,-219186000,0,-202763000,-0.7272,0,0,0,0,12.3938,0,,,0.237707719,,0.29924646,0.637352215,1,0,,0,,,0.092429144,,,,0.7177,0,,,1,,,16423,-202763,11129,,0.213368845,-12.34628265,76970,0,16423,-202763,0,597691,299000000,2675454754,0,3.2465,12.3938,0,0,8.9647,19.3784,18.7057,-7.4865,0,-0.6725,0,0.7177,,,1,0,13.3463,2.8477,-9.2153,0.0191,0,,,,832746000,1419308000,0,,,,,,,,,,,,,,,,,,,,,,,,,,Real Estate,36.86426819,1,37.35023979,30.4271336,1.920912934,38.58528014
WSR,72382000,0.1966,25152000,47230000,18007000,10579000,7586000,0.33,1.185,0.6525,0.472,0.2549,0.105,0.2191,34172000,0.1048,4236000,,394093000,-93938000,,25191000,-9330000,-25539000,15861000,-1.311,1.6231,1.6231,45.7879,21.2232,13.6942,9.036691175,30.00834266,0.11218868,6.785651627,1.083644119,0.25485618,0.652510293,1,0.104805062,,0.0361,,0.964158617,0.114113735,,,,0.6213,1.876,0,0,1.7437,,3.019426673,1.1308,0.712,0.1901,3.591,0.348028515,0.62962963,3.249,0.3405,1.1308,0.712,9.4296,17.6898,344971831.7,1162087534,45.7879,4.766,13.6942,21.2232,1.6231,9.1689,18.5317,26.7583,35.5716,0.0218,0.046,1.876,0.6213,,,1.7437,0.0784,0.3704,0.1289,-0.5933,0.064,8.3138,,,,634297000,1024154000,0.0361,0.249,0.3118,0.3093,0.9995,0.5714,0.6,-0.0084,-0.072,-0.106,-0.203,-0.0564,-0.1204,-0.1628,0.065,-0.1358,-0.0387,0.3988,-0.0575,-0.0688,-0.0979,0,0,-0.0042,0.2487,0.5078,Real Estate,-14.68887044,0,33.37505981,9.611653515,-6.538127519,22.43281126
RWT,191436000,-0.3231,0,191436000,101313000,0,100569000,1.18,1.12,1,0.532,0.5292,0.525,-9.3563,101826000,0.5253,270358000,,4533511000,-659411000,,-1791133000,0,-95273000,-1791133000,-3.627,1.3046,1.3046,16.6949,0,-0.916,,11.82163692,0.08013608,14.3308016,0.946462383,0.529226478,1,1,0.525340061,,0.0801,,0.992656421,0.032342811,,,,0.7659,3.6091,0,0,0,,4.712023571,-21.6223,-21.622,3.2637,0.949,-9.356301845,,2.311,1.2141,-21.6223,-21.622,15.1639,54.7278,1640693263,6595683782,16.6949,8.5705,-0.916,0,1.3046,27.1726,40.7194,-3.1258,-3.1258,0.0599,-1.0917,3.6091,0.7659,,,0,0.0569,0,0,0,0.0589,20.0233,,,,5918966000,10182119000,0.0801,-0.3231,-0.45,-0.45,-0.4195,-0.4244,-0.4072,0,-7.0744,-0.1386,0.5332,0.3531,0,0,0,-0.1967,0.1622,0.5335,-0.0931,0.0133,0.0995,-0.1852,0.0229,0.0385,0.2844,0.3812,Real Estate,-28.85618487,0,19.72731764,3.001376721,9.772753772,17.15269628
FSP,249683000,0.1687,98889000,150794000,41896000,27433000,13148000,0.13,0.76,0.6039,0.557,0.1645,0.053,0.3957,138995000,0.0527,8261000,,888000000,-289671000,,103166000,-4369000,-76142000,98797000,-1.1403,1.2548,1.2548,94.3846,12.4426,11.9157,9.065347365,71.13139841,0.081414777,6.787989685,0.954665942,0.164524617,0.603941798,1,0.052658771,,0.0134,,0.963505789,0.128942517,,,,0.4586,0.9064,0,0,1.4974,,1.97662015,1.0297,0.986,0.0825,5.846,0.413187922,0.957650776,2.4922,0.1312,1.0297,0.986,9.7782,8.8634,1229299459,1974125933,94.3846,4.9234,11.9157,12.4426,1.2548,7.3374,14.4577,22.041,27.7893,0.0106,0.0804,0.9064,0.4586,,,1.4974,0.0619,0.0423,0.0175,-0.0446,0,5.348,,,,1936390000,2816129000,0.0134,0.1518,-0.0068,0.043,-0.3369,-0.381,-0.381,0,1.2673,0.0594,0.0847,0.139,-0.0187,0.0263,0.1141,-0.1807,-0.1924,-0.3728,-0.0036,-0.053,-0.0458,0,0,0,-0.0527,-0.0416,Real Estate,-11.82544308,0,34.93672328,-11.90360723,-38.90271275,43.08027098
APTS,56536370,0.7594,12704975,43831395,12315390,10188187,2093489,-0.31,0.655,0.7753,0.506,0.2172,-0.094,-5.0619,28610391,0.037,7821135,,373891163,-11297852,,15436062,-301619992,-10501589,-286183930,-2.9105,0.6412,0.6706,0,0,11.711,7.84423798,57.83844281,0.08672968,4.50554062,0.418260654,0.217234959,0.775277843,1,0.037029066,,0.0072,,1,0.081772878,,,,0.5408,1.2915,0,0,1.2055,,2.388242239,0.8872,-16.4482,0.4495,-2.113,0.273028884,-18.53995728,3.2494,0.1203,0.8872,-16.4482,16.6384,21.4891,180772091.5,2620621254,0,3.1974,11.711,0,0.6412,7.6334,11.4071,22.379,-3.0568,-0.0341,-1.5831,1.2915,0.5408,,,1.2055,0.072,19.54,5.335,-18.4718,0.0316,0,,,,678679927,1044749955,0.0072,0.8653,7.1592,5.5258,0.6456,0.805,0.805,0.0826,-9.6668,,,0.3262,,,0.859,,,0,,,0.2247,,,0.2043,1.0237,1.2006,Real Estate,51.96531732,1,23.0839063,44.87872282,-25.59348472,1.747137198
RPT,218363000,0.284,62426000,155937000,51195000,33742000,-2364000,-0.14,0.775,0.7141,0.516,0.1439,-0.044,-1.0742,112614000,-0.0108,17498000,,919486000,-356715000,,110592000,-345156000,-54149000,-234564000,-0.9817,1.6675,1.829,0,0,13.1431,9.521177579,,0.051425209,9.50560384,1.207035733,0.1439438,0.714118234,1,-0.01082601,,-0.0027,,,0.112307466,,,,0.4729,1.054,0,0,0.9315,,2.228826043,1.5335,-3.2525,0.2426,-5.536,0.506459428,-2.120985243,3.0279,-0.0328,1.5335,-3.2525,12.0962,12.7497,1453521494,2055597224,0,6.6564,13.1431,0,1.6675,7.8196,10.5293,17.1616,-15.5742,-0.0075,-0.1614,1.054,0.4729,,,0.9315,0.0414,3.121,1.5807,-4.2516,0.0096,0,,,,1867287000,2769275000,-0.0027,0.2605,-0.2169,0.1344,-3.5658,-3.3333,-3.3333,0.0885,0.2213,-0.0867,-0.1017,0.006,-0.057,-0.0667,0.0968,0,0,0,-0.0472,-0.0607,0.0119,-0.0745,-0.0036,0.0588,0.1768,0.2117,Real Estate,-6.675188601,0,7.781084953,-6.456455914,-13.4501441,37.58959788
MNR,65855231,0.1909,27226248,38628983,30626354,16104678,19845294,0.4,0.6,0.5866,0.826,0.5459,0.171,-1.2663,54395298,0.3013,20474661,,312996006,,,34856285,-118248888,-21906902,-83392603,-0.6668,1.364,1.3854,25.3,0,16.3986,11.4242201,20.06550629,0.05501401,7.696998602,0.946686749,0.545893947,0.586574254,1,0.301347269,,0.0472,,1,0.088544051,,,,0.4208,0.7441,0,0,2.2323,,1.768192442,0.6995,-1.674,0.4109,1.5,0.529286504,-2.392469622,1.3216,0.3983,0.6995,-1.674,8.4413,6.2813,571595310,1934642724,25.3,8.6796,16.3986,0,1.364,14.8917,16.7113,22.5325,-7.4832,0.0395,-0.1459,0.7441,0.4208,,,2.2323,0.0593,3.3925,1.7956,-6.4108,0.0053,8.1714,,,,737265819,1029787164,0.0472,0.1634,-0.0111,0.1922,-0.1212,-0.2,-0.2,0,-0.577,0.0017,-0.0439,-0.0124,0.0088,-0.0226,0.0351,-0.0171,0.4318,-0.0323,0.0395,0.0548,0.0809,0.0051,0,0,0.205,0.1495,Real Estate,-0.557456473,0,56.66767302,23.52166489,-27.17979951,26.92287566
ORC,29007000,28.9041,0,29007000,24519000,0,24519000,2.48,2.16,1,0.845,0.8453,0.845,0.4015,24519000,0.8453,100927000,,1436651000,492000,,11646000,0,-22643000,11646000,0.4233,0.5918,0.5918,5.2621,11.0824,14.6535,5.49676957,2.610847849,0.353711882,6.727125022,0.293543496,0.845278726,1,1,0.845278726,,0.1124,,1,0.017497201,,,,0.8666,6.5878,0,0,0,,7.601903906,1.1775,1.1775,10.2049,0.871,0.401489296,1,2.9329,2.4792,1.1775,1.1775,22.0502,145.2621,170654602.1,3680139825,5.2621,5.8832,14.6535,11.0824,0.5918,603.9947,0,26.5685,26.5685,0.19,0.0682,6.5878,0.8666,,,0,0.1655,0,0,0,0.0049,35.0769,,,,1657808000,2993532000,0.1124,28.9041,36.1275,36.1275,36.1275,11.7826,11.7826,0.5484,0.1532,,,,,,,,,,,,,,,0,3.5597,3.5099,Real Estate,-11.80112116,0,28.48652386,-0.215656916,-19.95049772,6.516802327
CMO,153421000,0.0931,0,153421000,140820000,0,140820000,1.33,1.36,1,1.583,0.9179,0.918,1.6218,242829000,0.9179,307526000,,12904725000,-346885000,,248812000,0,-140723000,248812000,-0.0487,0.846,0.846,9.2331,4.7287,4.7287,3.316824614,5.860430095,0.170518402,4.664977272,0.593387241,0.917866524,1,1,0.917866524,,0.1013,,1,0.0106639,,,,0.897,9.2788,0,0,0,,10.34458656,2.5969,2.597,3.2097,1.023,1.621759733,1,1.6013,1.4698,2.5969,2.597,14.5158,134.6898,1176555826,12810644586,9.2331,7.6688,4.7287,4.7287,0.846,160.9822,66.544,68.5091,68.5091,0.1083,0.2115,9.2788,0.897,,,0,0.1107,0,0,0,0.0156,20.8421,,,,14386951000,26984150000,0.1013,0.0931,0.1133,0.1155,0.1133,0.4301,0.4301,0.0968,-0.0475,-0.0478,-0.0982,-0.0834,-0.0259,-0.0037,-0.0234,-0.0464,-0.0468,-0.0786,-0.0256,-0.0018,-0.0144,-0.0149,-0.095,-0.0824,0.0265,0.0256,Real Estate,-22.03292495,0,25.79429865,-9.921280682,-17.64634425,24.22437753
FCPT,17695000,0.0466,16942000,753000,-110000,0,32000,,0,0.0426,0.043,-0.0062,0.002,0.0512,753000,0.0018,64466000,0,515539000,36318000,-7000,961000,-55000,0,906000,0,138.107,138.107,26.2609,1059.8424,968.6547,,,,770.8711819,,-0.006216445,0.042554394,1,0.00180842,,0,,,0.016558135,4.621706961,3.038126208,3.038126208,0,0,0.500734119,0.500734119,0,0.001862403,2.077135088,,,,,0.054309127,0.94276795,,,,,,,1193382530,1193375530,26.2609,65.3658,968.6547,1059.8424,138.107,65.3654,1084.8868,968.649,1059.8362,0.0381,0.0009,0,0,,,0,0,0.0572,0.0031,-0.0637,0.0066,38.3796,,,,11949000,10607000,0,-0.0346,-0.1579,-0.1579,0.1034,,,0,0.0203,,,,,,,,,,,,,,,,,,Real Estate,18.54765015,1,-7.671137201,31.13268348,5.866627943,15.98131767
RHP,1040991000,0.0905,748024000,292967000,153105000,61447000,121035000,2.38,2.2,0.2814,0.282,0.1739,0.116,0.1862,293293000,0.1163,93818000,0,1319909000,-446963000,997509000,252224000,-58377000,-109414000,193847000,-0.3486,6.7034,6.7034,22.1597,13.881,10.6683,8.617213053,17.95735073,0.050340747,10.80418198,5.414623923,0.17388719,0.281430867,1,0.116269017,,0.3015,,1.012269169,0.435287895,0.605600612,0.398504669,0.268958973,0.5519,3.2882,0.691915494,0.71993623,2.9459,0.24443555,5.957793461,4.9436,3.799,1.8388,0.924,0.2422922,0.768550971,20.4036,2.3723,4.9436,3.799,7.8676,25.8704,2690795591,3916886591,22.1597,2.5848,10.6683,13.881,6.7034,3.7627,13.3549,15.5294,20.2061,0.0451,0.072,3.2882,0.5519,4.9168,,2.9459,0.0417,0.2314,0.0561,-0.5199,0.0055,20.5264,,,,2391500000,3617591000,0.3015,0.1996,1.2146,0.5563,0.0665,0.0721,0.1989,0.1,0.9242,0.0108,0.0189,0.0123,0.135,0.1355,0.1585,0,0,1.2431,-0.0972,-0.1928,-0.2858,0,0,0,-0.0137,0.1434,Real Estate,1.820862526,1,33.86464246,14.3909925,0.414231576,38.05592099
ADC,53559000,0.2307,4445000,49114000,27891000,8587000,18488000,1.24,1.74,0.917,0.713,0.5055,0.345,-2.3311,38178000,0.3452,5399458,,221762238,-32584612,,34951000,-159800000,-25403000,-124849000,-0.3871,1.3534,1.5633,25.0726,0,13.3076,10.92201523,20.64773661,0.066546102,10.14025911,1.079507279,0.50551728,0.917007412,1,0.345189417,,0.0523,,1,0.090230335,,,,0.3736,0.6271,0,0,3.153,,1.678584006,2.3484,-8.389,0.3628,1.403,0.652570063,-3.572115247,3.5988,1.2423,2.3484,-8.389,23.7607,14.9008,465113177.6,2276637071,25.0726,8.6841,13.3076,0,1.3534,17.8687,20.3193,26.9186,-7.8961,0.0399,-0.2684,0.6271,0.3736,,,3.153,0.056,4.5721,2.9836,-14.3925,0.0371,25.3164,,,,546101259,762464039,0.0523,0.219,0.0354,0.0972,-0.0603,-0.1788,-0.1733,0.061,-1.0443,-0.0215,-0.016,0.0465,-0.0184,-0.0398,-0.0389,-0.0479,-0.0979,0.0782,0.0464,0.0732,0.128,-0.0113,-0.0294,0.0284,0.2827,0.4,Real Estate,14.58634254,1,44.22022823,16.01619819,19.77317358,25.92410193
LSI,326080000,0.1922,107430000,218650000,116333000,34578000,88531000,2.68,2.72,0.6705,0.536,0.3775,0.272,-0.4894,174858000,0.2715,8543000,,801127000,-167692000,,146068000,-305637000,-90035000,-159569000,-0.3832,3.0171,3.0171,32.5448,0,20.1572,16.72703775,27.59807243,0.036849979,14.02182314,2.503701778,0.377542321,0.670540972,1,0.271500859,,0.0907,,1,0.175803321,,,,0.4319,0.8209,0,0,3.5603,,1.900664946,4.327,-4.727,0.2531,1.015,0.447951423,-1.092429553,9.6595,2.6226,4.327,-4.727,28.9082,23.7318,2944326882,6240392206,32.5448,9.0295,20.1572,0,3.0171,11.5617,20.1832,24.9185,32.8473,0.0307,-0.0542,0.8209,0.4319,,,3.5603,0.0312,2.0924,0.9373,-5.9061,0.015,41.7511,,,,1854800000,2647384000,0.0907,0.2087,0.16,0.1511,0.1943,0.1308,0.1314,0.3077,-49.883,0.0215,0.0343,0.1024,0.0234,0.1136,0.1469,0.0261,0.2525,0.3366,0.0191,0.0122,0.071,0.0122,0.0453,0.1475,0.1875,0.2792,Real Estate,25.43275695,1,-16.89345634,10.36038355,9.825799124,24.98846327
EPR,385051000,0.1224,24897000,360154000,262626000,81270000,179633000,2.87,3.42,0.9353,0.862,0.6886,0.405,-0.1877,331870000,0.4665,16408000,,1629750000,-302776000,,250295000,-322580000,-207637000,-72285000,-0.6185,1.7106,1.7106,20.0801,0,13.1588,10.21766723,14.23697772,0.081189678,7.755563983,1.327768592,0.688560736,0.935341033,1,0.466517422,,0.0933,,0.977004367,0.104455311,,,,0.4421,0.8461,0,0,3.2623,,1.913842497,4.6142,-1.333,0.3025,1.192,0.650030775,-0.288799217,7.0985,3.3116,4.6142,-1.333,35.5083,30.0448,3293593343,7770783111,20.0801,8.5537,13.1588,0,1.7106,11.8289,14.4671,17.1395,39.5011,0.0498,-0.0219,0.8461,0.4421,,,3.2623,0.0593,1.2888,0.8378,-4.8335,0.0231,46.6426,,,,3686275000,5299617000,0.0933,0.136,0.0729,0.1181,-0.0038,-0.1196,-0.1173,0.0823,-0.8751,0.0192,0.0001,0.0408,0.0265,0.0229,0.0318,0.0343,0.7173,0.1026,0.0323,-0.0273,0.0405,0.0428,0.0564,0.0689,0.1265,0.1047,Real Estate,6.207086944,1,30.26839975,-3.560947655,6.35902441,18.81619422
HHC,634565000,0.3518,336866000,297699000,137251000,38624000,-23531000,-0.6,0,0.4691,0.211,0.123,-0.037,-1.3114,134011000,-0.0371,560451000,,1978807000,-606934000,,-58315000,-773823000,0,-832138000,-0.4089,2.3247,2.3247,0,0,-88.6496,,,0,42.75806627,2.324708262,0.123002372,0.469138701,1,-0.037082096,,-0.0106,,-0.596794238,0.124296119,,,,0.3876,0.8898,0,0,2.0208,,2.295778822,-1.4712,-20.9934,14.1392,0,-0.091897599,,16.009,-0.5936,-1.4712,-20.9934,56.1017,49.9219,5169600219,8276521531,0,8.1467,-88.6496,0,2.3247,9.1716,29.6807,41.32,-51.6608,-0.0046,-0.161,0.8898,0.3876,,,2.0208,0,0,1.2195,-13.8286,0.0129,0,,,,5105268000,6523624000,-0.0106,0.7224,2.4332,0.2341,0.6811,0.6791,0.6791,0,-4.9127,,,0.3012,,,0,,,0,,,-0.0289,,0,0,0.1176,0.3065,Real Estate,-13.32056605,0,4.544620774,18.76414161,-26.51309437,31.23576842
PMT,356741000,-0.1203,0,356741000,179464000,0,194544000,2.62,2.99,1,0.503,0.5031,0.545,-1.0261,179464000,0.5453,76386000,,3159248000,97728000,,-366036000,0,-174433000,-366036000,-4.2125,0.9918,0.9918,8.0496,0,-4.2717,,4.947947061,0.181211504,5.78934724,0.609942017,0.503065249,1,1,0.545336813,,0.1233,,1.084027994,0.072845049,,,,0.6451,2.0018,0,0,0,,3.103120572,-4.9804,-4.9804,1.0393,1.141,-1.026055317,,4.8539,2.647,-4.9804,-4.9804,21.4732,42.9859,1563603531,6092994717,8.0496,4.383,-4.2717,0,0.9918,18.5665,40.5559,-9.2976,-9.2976,0.1242,-0.2341,2.0018,0.6451,,,0,0.1418,0,0,0,0.0161,35.405,,,,4897258000,7980120000,0.1233,-0.1203,-0.1639,-0.1639,-0.0282,-0.1629,-0.1655,0.3114,-0.5074,,,0.0469,,,0,,,0.0273,,,0.0125,,,0.1757,0.136,0.1781,Real Estate,-19.55580619,0,18.91335223,8.035982809,29.32890904,28.80643654
